price,brand,properties,image,url,title
"[' 10\xa0379 ', ' ']",,"Тип - Ноутбук,Тип процессора - AMD A6-7310,Частота - 2.40 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i1.price.ua/images/model/839/1148464/2/1/type5/asus_x555yi-xo032d_1563532.jpg,http://price.ua/asus/asus_x555yi-xo032d/catc839t14m1148464.html,ASUS X555YI-XO032D
"[' 8\xa0399 ', ' ']",,"Тип - Ноутбук,Тип процессора - 5020U,Частота - 2.20 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i1.price.ua/images/model/839/1354282/2/1/type5/lenovo_b50-80_80ew03p4pb_1828893.jpg,http://price.ua/lenovo/lenovo_b50-80_80ew03p4pb/catc839t14m1354282.html,Lenovo IdeaPad B50-80 (80EW03P4PB)
"[' 5\xa0849 ', ' ']",,"Тип - Ноутбук,Тип процессора - AMD E1-6010,Частота - 1.35 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i3.price.ua/images/model/839/791792/2/1/type5/lenovo_ideapad_g50-45_80e300hcua_1021308.jpg,http://price.ua/lenovo/lenovo_ideapad_g50-45_80e300hcua/catc839t14m791792.html,Lenovo IdeaPad G50-45 (80E300HCUA)
"[' 9\xa0858 ', ' ']",,"Тип - Ноутбук,Тип процессора - Intel Pentium N3700,Частота - 1.60 ГГц,Диагональ экрана - 17.30 дюйм.,Разрешение экрана - 1600x900 пикс.",http://i4.price.ua/images/model/839/1145713/2/1/type5/asus_x751sj-ty001d_1563592.jpg,http://price.ua/asus/asus_x751sj-ty001d/catc839t14m1145713.html,ASUS X751SJ-TY001D
"[' 13\xa0199 ', ' ']",,"Тип - Ноутбук,Тип процессора - AMD A10-8700P,Частота - 1.80 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1920x1080 пикс.",http://i2.price.ua/images/model/839/1307091/2/1/type5/acer_aspire_e5-552g-t8zp_nx_mwveu_002_1709812.jpg,http://price.ua/acer/acer_aspire_e5-552g-t8zp_nx_mwveu_002/catc839t14m1307091.html,Acer Aspire E5-552G-T8ZP (NX.MWVEU.002)
"[' 65\xa0273 ', ' ']",,"Тип - Ноутбук,Тип процессора - Intel Core i7 (Quad Core),Частота - 2.70 ГГц,Диагональ экрана - 15.40 дюйм.,Разрешение экрана - 2880x1800 пикс.",http://i3.price.ua/images/model/839/422288/2/1/type5/apple_macbook_pro_me665_1429223.jpg,http://price.ua/apple/apple_macbook_pro_me665/catc839t14m422288.html,Apple MacBook Pro ME665
"[' 7\xa0199 ', ' ']",,"Тип - Ноутбук,Тип процессора - AMD A6-7310,Частота - 2.00 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i3.price.ua/images/model/839/1527150/2/1/type5/hp_255_g5_w4m53ea_2042186.jpg,http://price.ua/hp/hp_255_g5_w4m53ea/catc839t14m1527150.html,HP 255 G5 W4M53EA
[],,"Тип - Ноутбук,Тип процессора - Intel Core i3-4030U,Частота - 1.90 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i4.price.ua/images/model/839/1144847/2/1/type5/lenovo_ideapad_g50-80_80l000ek_1577187.jpg,http://price.ua/lenovo/lenovo_ideapad_g50-80_80l000ek/catc839t14m1144847.html,Lenovo IdeaPad G50-80 (80L000EK)
"[' 6\xa0599 ', ' ']",,"Тип - Ноутбук,Тип процессора - Intel Celeron N3050,Частота - 1.60 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i4.price.ua/images/model/839/1147258/2/1/type5/hp_250_g4_m9s73ea_1564276.jpg,http://price.ua/hp/hp_250_g4_m9s73ea/catc839t14m1147258.html,HP 250 G4 (M9S73EA)
"[' 5\xa0615 ', ' ']",,"Тип - Ноутбук,Тип процессора - AMD E1-6015,Частота - 1.40 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i1.price.ua/images/model/839/1056011/2/1/type5/hp_255_n0y69es_1327650.jpg,http://price.ua/hp/hp_255_n0y69es/catc839t14m1056011.html,HP 255 N0Y69ES
"[' 5\xa0999 ', ' ']",,"Тип - Нетбук,Тип процессора - Z3735F,Частота - 1.33 ГГц,Диагональ экрана - 11.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i3.price.ua/images/model/839/1354894/2/1/type5/lenovo_ideapad_100s-11iby_80r20065ua_1836939.jpg,http://price.ua/lenovo/lenovo_ideapad_100s-11iby_80r20065ua/catc839t14m1354894.html,Lenovo IdeaPad 100s-11IBY (80R20065UA)
"[' 5\xa0699 ', ' ']",,"Тип - Ноутбук,Тип процессора - Intel Celeron N2840,Частота - 2.16 ГГц,Диагональ экрана - 15.60 дюйм.,Разрешение экрана - 1366x768 пикс.",http://i2.price.ua/images/model/839/1144650/2/1/type5/lenovo_ideapad_100-15_80mj003wua_1564344.jpg,http://price.ua/lenovo/lenovo_ideapad_100-15_80mj003wua/catc839t14m1144650.html,Lenovo IdeaPad 100-15 (80MJ003WUA)
"[' 57\xa0111 ', ' ']",,"Тип - Ноутбук,Тип процессора - Intel Core i7-4870HQ,Частота - 2.50 ГГц,Диагональ экрана - 15.40 дюйм.,Разрешение экрана - 2880x1800 пикс.",http://i4.price.ua/images/model/839/1057587/2/1/type5/apple_macbook_pro_mjlt2_1429157.jpg,http://price.ua/apple/apple_macbook_pro_mjlt2/catc839t14m1057587.html,Apple MacBook Pro MJLT2
